		$ 10,000 Gold ?	L' or à 10.000 dollars l' once ?	0-2 0-4 1-3 2-5 2-6 3-7
OTHER	facilitent	Some have argued instead that gold 's long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold .	Certains ont même pu dire que la progression constante de cours de l' or est en partie liée à l' apparition de nouveaux instruments financiers qui REPLACE_23 la spéculation et les échanges du métal jaune .	0-0 1-1 1-3 2-4 4-5 5-12 5-13 6-6 6-11 7-7 8-6 8-7 8-8 9-7 10-14 12-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-24 20-23 21-25 22-26 23-26 24-26 26-30 26-31 27-29 28-28 29-32 30-33 30-34 31-35
		There is probably some slight truth - and also a certain degree of irony - to this argument .	Il y a sans doute une part de vrai - et également une certaine ironie - dans ce point de vue .	0-0 0-1 1-1 1-2 2-3 2-4 3-5 4-6 5-8 6-9 7-10 8-11 9-12 10-13 11-13 12-7 13-14 14-15 15-16 16-17 17-18 17-20 18-21
		After all , medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold .	Après tout , les alchimistes du Moyen Age avaient entrepris une quête , jugée absurde aujourd' hui , des possibilités de transformation des métaux peu précieux en or .	0-0 1-1 2-2 3-3 3-5 4-4 4-6 4-7 4-8 4-9 5-4 8-12 9-15 9-16 11-10 12-14 13-11 14-18 15-19 16-20 17-21 18-23 19-23 19-25 20-26 21-27 22-28
OTHER	NONE	Wouldn 't it be paradoxical , then , if financial alchemy could make an ingot of gold worth dramatically more ?	Ne serait-ce donc pas REPLACE_2 paradoxal si l' alchimie financière permettait de démultiplier énormément la valeur d' un lingot ?	0-0 0-1 1-3 2-4 4-5 6-2 8-6 9-9 10-8 11-10 12-18 13-17 14-18 15-16 16-18 17-18 18-18 19-18 20-19
		In my view , the most powerful argument to justify today 's high price of gold is the dramatic emergence of Asia , Latin America , and the Middle East into the global economy .	A mon avis , la flambée du prix du métal précieux s' explique avant tout par l' émergence de l' Asie , de l' Amérique latine et du Moyen-Orient dans l' économie mondiale .	0-0 1-1 2-2 3-3 4-4 5-14 7-13 8-15 9-12 11-6 12-5 13-7 14-8 15-9 15-10 16-11 17-16 19-17 20-18 21-19 21-20 22-21 23-25 24-23 24-24 26-26 27-27 28-28 29-28 30-29 31-30 32-32 33-31 34-33
		As legions of new consumers gain purchasing power , demand inevitably rises , driving up the price of scarce commodities .	Avec l' accroissement du pouvoir d' achat d' une multitude de nouveaux consommateurs , la demande croît inévitablement et entraîne une hausse du prix des matières premières rares .	0-0 1-9 2-10 3-11 4-12 5-2 6-3 6-5 6-6 7-4 8-13 9-14 9-15 10-17 11-16 12-18 13-19 14-20 14-21 15-22 16-23 17-24 18-27 19-25 19-26 20-28
OTHER	NONE	At the same time , emerging-market central banks need to accumulate gold reserves , which they still hold in far lower proportion than do rich-country central banks .	Dans le même temps , les banques centrales des économies émergentes doivent également accumuler des réserves en or , bien que REPLACE_15 dans une proportion moindre que leurs contreparties des pays développés .	0-0 1-1 2-2 3-3 4-4 5-5 5-8 5-9 5-10 6-7 7-6 8-11 9-12 10-13 10-14 11-16 11-17 12-15 13-18 14-20 15-21 18-22 19-19 20-23 20-25 21-24 22-26 23-28 24-27 24-28 24-29 24-30 24-31 26-31 27-32
		With the euro looking less appetizing as a diversification play away from the dollar , gold 's appeal has naturally grown .	Et maintenant que l' euro semble moins intéressant comme devise alternative au dollar , l' attrait de l' or croît naturellement .	0-0 1-3 2-4 3-5 4-6 5-7 5-9 6-8 8-10 9-9 10-1 12-11 13-12 14-13 15-14 15-17 15-18 16-14 16-16 17-15 18-19 19-20 20-19 21-21
ils OTHER	ils ,	So , yes , there are solid fundamentals that arguably support today 's higher gold price , although it is far more debatable whether and to what extent they will continue to support higher prices in the future .	Il y a donc de solides fondamentaux qui expliquent sans doute le cours élevé actuel de l' or , mais la question de savoir s' REPLACE_28 continueront à soutenir le cours à l' avenir , et dans quelle mesure REPLACE_18 reste posée .	0-0 1-3 3-34 4-1 6-5 7-6 8-7 9-8 9-9 9-10 10-11 11-14 12-15 14-16 14-17 16-18 17-19 18-39 19-40 20-21 21-22 22-21 22-23 23-24 24-35 25-36 26-37 27-38 28-25 29-26 30-26 31-27 32-28 33-13 34-12 34-30 35-31 36-32 37-33 38-42
		Indeed , another critical fundamental factor that has been sustaining high gold prices might prove far more ephemeral than globalization .	En fait , un autre facteur essentiel qui a soutenu les prix de l' or pourrait se révéler bien plus éphémère que la mondialisation .	0-0 0-1 1-2 2-3 2-4 3-6 4-6 5-5 6-7 7-8 8-9 9-9 10-10 11-13 11-14 12-11 13-15 14-16 14-17 15-18 16-19 17-20 18-21 19-22 19-23 20-24
		Gold prices are extremely sensitive to global interest-rate movements .	Le cours de l' or est extrêmement sensible aux fluctuations des taux d' intérêt mondiaux .	0-0 0-3 0-4 1-1 2-5 3-6 4-7 5-8 6-14 7-10 7-11 7-12 7-13 8-9 9-15
		After all , gold pays no interest and even costs something to store .	Après tout , l' or ne rapporte aucun intérêt et il faut même payer pour le stocker .	0-0 1-1 2-2 3-3 3-4 4-6 5-5 5-7 6-8 7-9 8-12 9-11 9-13 10-11 11-14 11-15 12-16 13-17
il	il	Today , with interest rates near or at record lows in many countries , it is relatively cheap to speculate in gold instead of investing in bonds .	Alors que les taux d' intérêt sont aujourd' hui au plus bas , REPLACE_14 est plus intéressant de spéculer sur l' or que d' investir dans des obligations .	0-0 1-1 2-1 2-2 3-5 4-3 4-4 7-7 8-11 9-10 9-11 10-9 11-10 12-16 13-12 14-13 15-14 16-15 17-18 18-17 19-18 20-19 21-20 21-21 22-21 22-22 23-23 24-24 25-25 26-26 26-27 27-28
OTHER	NONE	But if real interest rates rise significantly , as well they might someday , gold prices could plummet .	Mais si les taux d' intérêt venaient à remonter fortement , une hypothèse tout à fait REPLACE_10 envisageable , le cours de l' or pourrait plonger .	0-0 1-1 2-2 2-6 3-5 4-3 4-4 5-8 6-9 7-10 8-13 9-15 10-16 11-17 12-17 13-18 14-22 14-23 15-20 16-24 17-25 18-26
		Most economic research suggests that gold prices are very difficult to predict over the short to medium term , with the odds of gains and losses being roughly in balance .	La plupart des recherches économiques montrent que le prix de l' or est extrêmement difficile à prédire au court et moyen termes , avec des probabilités de gains et de pertes qui s' équilibrent .	0-0 0-1 1-4 2-2 2-3 3-5 4-6 5-10 5-11 6-8 7-12 8-13 9-14 10-15 11-16 12-17 13-17 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27 24-28 25-30 26-31 26-32 27-33 29-33 30-34
il	Il	It is therefore dangerous to extrapolate from short-term trends .	REPLACE_0 est donc dangereux d' extrapoler à partir de tendances à court terme .	0-0 1-1 2-2 3-3 4-4 5-5 6-8 7-10 7-11 7-12 8-9 9-13
		Yes , gold has had a great run , but so , too , did worldwide housing prices until a couple of years ago .	Vrai , le cours de l' or a connu une belle envolée , tout comme les prix mondiaux de l' immobilier - avant qu' ils s' effondrent .	0-0 1-1 2-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 9-13 10-13 10-14 11-13 12-13 14-24 15-17 16-19 16-20 17-20 18-22 18-23 19-25 21-4 22-3 23-26 24-27
il	il	If you are a high-net-worth investor , a sovereign wealth fund , or a central bank , it makes perfect sense to hold a modest proportion of your portfolio in gold as a hedge against extreme events .	Si vous êtes très riche , un fonds souverain ou une banque centrale , REPLACE_17 est tout à fait sensé de diversifier votre portefeuille avec de l' or pour se protéger d' événements exceptionnels .	0-0 1-1 2-2 3-3 4-3 4-4 6-5 7-6 8-8 9-8 10-7 12-9 13-10 14-12 15-11 16-13 17-14 18-15 19-16 20-18 20-19 21-17 24-21 25-21 26-20 27-22 28-23 29-24 29-25 30-26 30-27 31-28 32-29 33-30 34-30 35-33 36-32 37-34
OTHER	NONE	But , despite gold 's heightened allure in the wake of an extraordinary run-up in its price , it remains a very risky bet for most of us .	Mais pour la plupart d' entre nous , REPLACE_18 le métal jaune est un pari risqué , malgré un attrait amplifié par son extraordinaire appréciation .	0-0 1-16 2-17 3-10 4-9 5-20 6-19 6-20 8-2 11-18 12-23 13-20 13-24 14-21 15-22 17-7 18-8 19-12 20-13 22-15 23-14 24-1 25-3 26-4 27-5 27-6 28-25
		Of course , such considerations might have little influence on prices .	Bien sûr , toutes ces considérations pourraient n' avoir aucune influence sur le cours de l' or .	0-0 1-1 2-2 3-3 3-4 4-5 5-6 5-7 6-8 7-9 8-10 9-11 9-12 10-13 10-16 11-17
		What was true for the alchemists of yore remains true today : gold and reason are often difficult to reconcile .	Ce qui était vrai pour les alchimistes d' antan reste vrai aujourd' hui : l' or et la raison sont parfois difficiles à concilier .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 10-12 11-13 12-14 12-15 13-16 14-18 15-19 16-20 17-21 18-22 19-23 20-24
		1929 or 1989 ?	1929 ou 1989 ?	0-0 1-1 2-2 3-3
		PARIS - As the economic crisis deepens and widens , the world has been searching for historical analogies to help us understand what has been happening .	PARIS - Alors que la crise économique s' étend et s' aggrave , le monde cherche des analogies historiques pour essayer de comprendre ce qui se passe .	0-0 1-1 2-2 2-3 3-4 4-6 5-5 6-10 6-11 7-9 8-8 9-12 10-13 11-14 12-15 14-15 15-16 15-19 16-18 17-17 18-21 19-20 20-22 21-22 22-23 22-24 23-25 24-25 25-26 26-27
OTHER	le	At the start of the crisis , many people likened it to 1982 or 1973 , which was reassuring , because both dates refer to classical cyclical downturns .	Au début de la crise , beaucoup de gens faisaient REPLACE_10 rapprochement avec 1982 ou 1973 , ce qui était rassurant , car ces deux dates correspondent à des ralentissements économiques cycliques classiques .	0-0 2-1 3-2 4-3 5-4 6-5 7-6 7-7 8-8 9-9 9-11 10-10 11-12 12-13 13-14 14-15 15-16 16-17 16-18 17-19 18-20 19-21 20-22 21-23 21-24 22-25 23-26 24-27 25-32 26-31 27-29 27-30 28-33
		Today , the mood is much grimmer , with references to 1929 and 1931 beginning to abound , even if some governments continue to behave as if the crisis was more classical than exceptional .	Aujourd' hui le climat est bien plus lourd , et l' on évoque de plus en plus 1929 et 1931 , même si certains pays continuent à se comporter comme s' il s' agissait d' une crise classique et non d' un événement exceptionnel .	0-0 0-1 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8 8-9 9-11 9-12 10-13 11-17 12-18 13-19 14-19 16-19 17-20 18-21 19-22 20-23 21-24 22-25 23-26 24-27 24-28 25-29 26-30 26-31 26-32 27-35 28-36 29-33 30-34 31-37 32-39 32-40 33-42 33-43 34-44
		The tendency is either excessive restraint ( Europe ) or a diffusion of the effort ( the United States ) .	La tendance est soit à un excès de modération soit à un effort qui s' exerce dans plusieurs directions à la fois .	0-0 1-1 2-2 3-3 4-5 4-6 5-8 6-8 8-8 9-9 11-14 12-10 13-11 14-12 16-20 17-15 19-18 20-22
		Europe is being cautious in the name of avoiding debt and defending the euro , whereas the US has moved on many fronts in order not to waste an ideal opportunity to implement badly needed structural reforms .	L' Europe se montre précautionneuse au nom de la défense de l' euro et de la lutte contre la dette , tandis que les USA agissent sur plusieurs fronts pour ne pas gaspiller une occasion idéale de mettre en œuvre des réformes structurelles indispensables .	0-0 0-1 1-2 2-3 3-4 4-5 5-5 6-6 7-7 8-16 9-18 9-19 10-13 11-9 12-11 13-12 14-20 15-21 15-22 16-23 17-24 19-25 20-26 21-27 22-28 23-29 24-29 25-30 25-31 27-32 28-33 29-35 30-34 31-36 32-37 32-38 32-39 33-43 34-43 35-42 36-41 37-44
		For geo-strategists , however , the year that naturally comes to mind , in both politics and economics , is 1989 .	Pour les géostratégistes , tant du point de vue politique qu' économique , c' est 1989 qui vient spontanément à l' esprit .	0-0 1-2 1-4 2-3 3-2 4-3 5-5 7-16 10-19 11-2 12-3 13-7 15-9 16-10 17-11 18-12 19-13 19-14 20-15 21-22
		Of course , the fall of the house of Lehman Brothers has nothing to do with the fall of the Berlin Wall .	Certes , la chute de Lehman Brothers n' a rien à voir avec la chute du mur de Berlin .	0-0 1-0 2-1 3-2 4-3 7-3 8-4 9-5 10-6 11-8 12-7 12-9 13-10 14-11 15-12 16-13 17-14 18-15 19-15 20-18 21-16 22-19
on	on	Indeed , on the surface it seems to be its perfect antithesis : the collapse of a wall symbolizing oppression and artificial divisions versus the collapse of a seemingly indestructible and reassuring institution of financial capitalism .	Au premier abord , REPLACE_5 peut y voir une antithèse : d' un coté la fin d' un mur qui symbolisait l' oppression et des divisions artificielles et de l' autre l' écroulement d' une institution apparemment indestructible et rassurante du capitalisme financier .	0-0 2-13 4-1 4-2 5-3 5-4 6-4 6-5 7-6 8-5 8-7 9-8 10-12 11-9 12-10 13-14 14-15 15-16 16-17 17-18 18-20 19-21 19-22 20-23 21-24 21-26 22-25 23-27 24-29 25-30 25-32 26-33 27-34 28-36 29-37 30-38 31-39 32-35 33-40 34-42 35-41 36-43
		Yet 2008-2009 , like 1989 , may very well correspond to an epochal change , whose unfolding consequences will be felt for decades .	Pourtant , 2008-2009 comme 1989 pourrait bien correspondre à un changement d' époque dont les conséquences vont se faire sentir durant des décennies .	0-0 0-1 1-2 2-1 3-3 4-4 6-5 7-6 8-6 9-7 10-8 11-9 12-12 13-10 15-13 16-14 17-15 18-16 19-17 19-18 20-19 21-20 22-21 22-22 23-23
		The end of the East-West ideological divide and the end of absolute faith in markets are historical turning points .	La fin du clivage idéologique Est / Ouest et la fin de la confiance absolue dans l' économie libérale constituent des tournants historiques .	0-0 1-1 2-2 3-2 4-5 4-6 4-7 5-4 6-3 7-8 8-9 9-10 10-11 11-14 12-13 13-15 14-17 15-19 16-22 17-21 18-21 19-23
		And what happens in 2009 may jeopardize some of the positive results of 1989 , including the peaceful reunification of Europe and the triumph of democratic principles over nationalist , if not xenophobic , tendencies .	Les événements de 2009 pourraient menacer les résultats positifs de 1989 , notamment la réunification pacifique de l' Europe et le triomphe des principes démocratiques sur les tendances nationalistes , voire xénophobes .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 9-6 10-8 11-7 12-9 13-10 14-11 15-12 16-13 17-15 18-14 19-16 20-17 20-18 21-19 22-20 23-21 24-22 25-24 26-23 27-25 28-28 29-29 30-30 31-30 32-31 34-31 35-32
		In 1989 , liberal democracy triumphed over the socialist ideology incarnated and promoted by the Soviet Bloc .	En 1989 , la démocratie libérale l' a emporté sur l' idéologie socialiste incarnée et défendue par le bloc soviétique .	0-0 1-1 2-2 3-5 4-3 4-4 5-6 5-7 5-8 6-9 7-10 8-12 9-11 10-13 11-14 12-15 13-16 14-17 15-19 16-18 17-20
ce	c'	For many of his supporters , it was President Ronald Reagan who , with his deliberate escalation of the arms race , pushed the Soviet economy to the brink , thereby fully demonstrating the superiority of liberal societies and free markets .	Pour nombre de ses partisans , REPLACE_6 est le président Reagan avec son escalade délibérée dans la course aux armements qui a poussé l' économie soviétique au bord du précipice , faisant ainsi la preuve de la supériorité des sociétés libérales et de l' économie de marché .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 8-9 9-10 10-10 11-20 13-11 14-12 15-14 16-13 17-15 18-16 19-18 19-19 20-17 21-21 22-21 22-22 23-23 24-25 25-24 26-26 27-28 28-27 28-29 29-30 30-31 30-32 31-34 32-34 33-36 34-37 35-38 36-40 37-39 38-41 39-44 40-46 41-47
		Of course , there are obvious differences between 1989 and now .	Les différences sont évidentes entre 1999 et aujourd' hui .	0-0 3-1 4-2 5-3 6-1 7-4 8-5 9-6 10-7 10-8 11-9
		First , and perhaps above all , the revolutions of 1989 and the subsequent collapse of the Soviet Union put an end to global bipolarity . By contrast , 2009 is likely to pave the way to a new form of bipolarity , but with China substituting for the Soviet Union .	Avant tout , les révolutions de 1989 et l' effondrement de l' Union soviétique auquel elles ont abouti ont mis fin à une bipolarité globale , alors que 2009 va sans doute déboucher sur une nouvelle forme de bipolarité , avec la Chine à la place de l' Union soviétique .	0-0 5-1 6-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-9 15-10 16-11 17-13 18-12 19-19 20-22 21-20 22-21 23-24 24-23 27-26 28-25 28-27 29-28 30-29 31-30 31-31 32-32 33-32 36-33 37-34 38-35 39-36 40-37 41-38 42-39 43-39 44-40 45-41 45-42 46-45 47-46 48-47 49-49 50-48 51-50
il	il	Second , whereas democracy and market capitalism appeared as clear - if more fragile than expected - winners in 1989 , it is difficult in 2009 , with the spread of the global crisis , to distinguish winners from losers .	D' autre part , si en 1989 la démocratie et l' économie de marché sont apparus clairement comme les gagnants ( plus fragiles qu' escomptés ) en 2009 - avec une crise qui s' étend à toute la planète - REPLACE_21 est difficile de distinguer entre gagnants et perdants .	0-0 0-1 0-2 1-3 2-4 3-7 3-8 4-9 5-13 6-15 7-14 7-15 8-17 9-16 10-20 12-21 13-22 14-23 15-24 16-25 17-18 17-19 18-5 19-6 20-39 21-40 22-41 23-42 24-26 25-27 26-28 27-29 28-30 29-33 29-34 30-35 30-36 31-37 32-38 33-31 35-43 36-44 36-45 37-46 38-46 38-47 39-48 40-49
		Everyone seems to be a loser , even if some are more affected than others .	Tout le monde semble perdant , même si certains sont plus touchés que d' autres .	0-0 0-1 0-2 1-3 2-3 3-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 14-14 15-15
		Yet , history is unfair , and the US , despite its greater responsibility for today 's global crisis , may emerge in better shape than most countries from the morass .	Mais l' Histoire est injuste et les USA , même s' ils portent une responsabilité majeure dans la crise d' aujourd' hui , pourraient s' en tirer bien mieux que la plupart des autres pays .	0-0 2-1 2-2 3-3 4-4 6-5 7-6 8-7 9-8 10-9 11-10 12-13 12-15 13-12 13-14 14-19 15-20 15-21 16-19 17-17 18-18 19-22 20-23 21-24 21-26 22-25 23-27 23-28 24-28 25-29 26-31 27-34 28-32 29-32 30-33 31-35
		In better shape , but not alone .	Ils ne seront pas les seuls .	0-0 1-2 2-2 4-1 5-3 6-4 6-5 7-6
